1096	1424	1417	
415	1189	1371	
1133	1894	710	
1511	576	70	
1656	580	42	
1274	156	620	
157	1891	648	
381	1655	25	
158	932	352	
1505	1295	792	
339	711	586	
1273	1818	229	
160	1402	1142	
1829	613	1703	
1206	1806	1610	
83	627	1842	
162	1321	1251	
797	318	90	
1636	1242	1018	
7	348	285	
164	591	1028	
76	898	408	
749	449	597	
757	593	760	
1339	25	1655	
338	166	607	
1262	1385	1386	
1904	1522	694	
1864	1607	199	
796	1724	81	
584	692	1237	
364	1161	1137	
723	170	91	
324	622	802	
388	710	569	
1842	1787	83	
632	1694	1296	
57	172	744	
805	1290	791	
358	173	589	
174	1673	1674	
664	698	1100	
175	846	1575	
382	1471	1713	
176	357	1941	
729	1521	577	
177	1794	1201	
14	1843	1468	
1074	1229	1490	
1935	178	94	
1068	179	1765	
1570	311	1466	
715	1246	1431	
1863	180	1953	
181	1434	102	
983	1985	1411	
644	707	1076	
359	707	1496	
183	861	747	
757	394	75	
771	620	1844	
43	184	87	
185	408	898	
795	626	825	
186	1148	1459	
887	1565	1393	
1528	1303	1186	
1247	1182	1463	
1981	1436	5	
1742	1504	49	
189	907	21	
92	724	696	
1910	666	101	
1369	1700	626	
648	1426	1494	
1544	1077	1621	
192	1498	328	
1327	811	1946	
1381	1837	1764	
1241	356	886	
1170	1093	1240	
426	1568	719	
1232	697	1452	
424	809	1270	
1914	768	1629	
1107	624	767	
197	1217	611	
812	1711	1614	
198	651	654	
1534	1881	1012	
198	654	1319	
1620	199	1607	
1577	1866	848	
1640	414	109	
201	874	1618	
1967	1090	118	
202	804	448	
736	362	202	
1902	766	1541	
1884	203	1749	
765	900	429	
482	1003	929	
1478	1326	686	
10	1737	50	
206	1304	1884	
943	906	1512	
1683	1642	95	
1223	1268	1644	
1697	1283	1695	
40	405	1630	
209	927	1161	
887	839	431	
544	933	431	
210	431	839	
934	1696	56	
1879	1550	905	
1420	720	1689	
1243	212	949	
1545	1969	110	
1798	986	28	
1159	110	810	
48	1297	879	
1747	1984	1399	
46	1213	1437	
1601	882	787	
108	216	1143	
999	1548	1554	
1980	217	9	
218	122	964	
1238	1391	27	
961	1360	1651	
877	219	844	
220	457	974	
937	1328	661	
221	1782	1419	
1129	719	1568	
1491	1108	1293	
106	1433	1115	
1718	801	765	
1031	223	1858	
629	1255	320	
427	1335	112	
225	872	63	
488	1219	662	
428	902	497	
126	1390	1647	
227	813	1739	
813	227	1520	
1883	1309	1198	
123	830	466	
229	827	1273	
1971	1992	1101	
230	1734	107	
50	230	831	
231	1686	1466	
1750	1868	35	
743	956	1113	
1278	1301	953	
1135	1437	1213	
1115	1882	106	
234	747	861	
830	490	869	
1091	1896	845	
1097	1212	1324	
236	1009	1169	
1072	1623	114	
237	1639	513	
1790	1959	1585	
1555	1810	1402	
926	1203	115	
239	1813	649	
1499	920	800	
240	982	500	
120	1441	243	
1875	708	140	
1243	1263	127	
41	962	912	
1003	1398	105	
243	1587	120	
1743	1443	842	
244	1419	1782	
1016	1258	1030	
434	995	1008	
62	987	941	
973	1949	60	
109	1308	914	
1690	1689	720	
1199	1264	129	
1695	1289	1697	
1873	1889	1759	
1408	1961	682	
125	249	510	
113	250	979	
